member_id,m_dob,m_address_pcode,m_gender
72,1972-12-01,7116,F
73,1982-09-18,4556,F
74,1971-09-20,4567,M
78,1979-06-20,4573,F
81,1959-03-18,4310,F
82,1956-05-05,4556,F
83,1964-08-12,4305,F
85,1958-06-26,4013,F
88,1974-12-11,4744,F
89,1971-02-16,4744,M
90,2002-12-28,4744,M
92,1968-08-31,7109,F
93,1972-12-01,7116,F
95,1968-11-22,4504,F
96,1967-07-25,4518,F
97,1962-08-03,4556,F
98,1976-07-13,4104,F
99,1964-01-20,4557,F
100,1972-04-16,4160,F
101,1963-09-29,4011,F
102,1965-01-30,4551,F
103,1958-07-18,4017,F
105,1983-03-14,4169,F
106,1964-02-17,2085,F
107,1977-05-03,4560,F
108,1963-06-14,2101,F
109,1976-03-01,4560,M
110,1975-04-30,4556,F
111,1990-09-23,2009,M
112,1990-09-23,2009,M
113,1982-01-27,4506,F
114,1963-10-25,4558,F
115,1974-01-23,4569,F
116,1974-06-30,4156,F
117,1975-05-10,3740,F
118,1975-12-01,4519,M
119,0000-00-00,,
120,1974-02-15,4054,F
121,1981-06-23,4514,F
122,1972-02-19,4553,M
124,1960-07-22,4078,F
125,1970-10-02,4157,F
126,1969-11-18,4556,F
127,1981-05-16,4034,F
128,1962-11-24,4564,F
129,1973-12-01,4573,F
130,1973-09-01,4551,F
131,1970-10-20,4553,F
132,1957-01-18,4575,F
133,1973-12-16,2090,F
134,1987-11-03,4573,F
135,1967-04-21,4575,F
136,1972-05-20,4557,F
137,1971-02-02,4510,F
138,1968-12-09,4510,M
139,1991-10-22,3493,F
140,1947-09-15,4573,M
141,1965-08-19,4559,F
142,1971-12-06,4570,F
143,1960-10-13,4556,M
144,1959-02-02,4552,F
145,1960-01-17,4750,F
146,1975-12-27,4556,F
147,1964-06-21,4560,F
148,1974-11-19,4557,F
149,1966-11-06,4019,M
150,1974-04-26,4035,F
151,1968-04-23,4565,F
152,1966-09-22,4207,M
153,1969-04-29,4573,F
154,1957-09-28,4750,F
155,1973-09-30,4556,F
156,1974-02-22,4034,F
157,1974-02-22,4034,F
158,1974-01-13,4565,F
159,1954-08-18,4740,F
160,1963-05-03,3150,F
161,1981-01-07,4506,F
162,1966-07-15,,F
163,1978-07-19,4556,F
164,1967-09-30,4561,F
165,1958-09-01,4005,F
166,1976-02-05,4570,F
167,1967-04-29,4561,F
168,2019-06-07,4066,F
169,1967-09-20,4558,F
170,1990-04-10,4005,F
171,1975-01-03,4556,F
172,1977-09-07,4573,F
173,1977-07-18,4573,F
174,1996-01-09,4702,F
175,1993-01-30,4702,M
176,1976-01-08,4702,F
177,0000-00-00,,
178,1991-11-18,4503,F
179,1978-06-23,4655,F
180,1946-04-22,4564,M
181,1971-04-07,4558,F
182,1964-04-05,4020,F
183,1963-08-12,4573,M
184,1978-09-20,4560,F
185,1982-03-17,4570,F
186,1971-07-21,4551,F
187,1971-07-04,2010,F
188,1977-05-24,4017,F
189,1974-10-28,4573,F
190,1966-03-01,4503,F
191,1990-01-01,10002,M
192,1951-05-14,4559,M
193,1974-01-06,4019,F
194,1984-10-26,4563,F
195,1969-09-20,4160,F
196,1945-01-12,4563,F
197,1969-07-04,4170,F
198,1974-09-22,4164,F
199,1976-04-05,4061,F
200,1952-05-30,4011,F
201,1967-04-28,4564,F
202,1968-03-26,4012,F
203,1972-09-25,4562,F
204,1971-08-29,4557,F
205,1965-02-15,4503,F
206,1961-02-03,4115,M
207,1963-07-23,4510,F
208,1967-03-14,4560,F
209,1969-01-27,4065,F
210,1975-06-17,4556,F
211,1965-11-06,2137,F
212,1994-12-05,4556,F
213,1969-10-25,4073,F
214,1981-09-29,4179,F
215,1968-05-02,4500,F
216,0000-00-00,,
217,1982-08-03,4013,F
218,0000-00-00,,
219,1955-08-21,4554,F
220,1996-02-22,4500,M
221,1971-01-15,4500,F
222,1998-07-29,4500,M
223,1979-07-04,4500,F
224,1979-06-13,4500,M
225,1988-12-22,4500,F
226,1962-01-17,4558,F
227,1962-12-04,4573,F
228,1976-07-28,4565,F
229,1956-05-12,4556,F
230,1969-02-18,4073,F
231,1986-07-02,4557,F
232,1957-12-14,4556,F
233,1968-04-14,4561,F
234,1965-09-24,4068,F
235,1969-12-30,4121,F
236,1963-12-17,4551,F
237,2003-02-26,4121,M
238,1969-12-30,4121,F
239,1978-04-01,4552,F
240,1966-08-13,4570,F
241,1976-06-01,4556,F
242,2003-12-02,4552,F
243,1957-08-07,4518,F
244,1967-07-20,4558,F
245,1961-01-28,4558,F
246,1976-06-14,4510,F
247,1993-08-23,4551,F
248,1964-03-02,4560,F
249,1963-08-28,4565,F
250,1978-04-28,4556,F
251,1972-03-23,4551,F
252,1963-03-02,4870,F
253,1958-02-14,4568,F
254,1956-02-06,4034,F
255,1975-03-08,4562,F
256,1993-02-17,4557,F
257,1989-03-13,4017,F
258,1993-07-28,4034,F
259,1966-03-16,4573,F
260,1974-03-28,4556,F
261,1973-08-23,4518,F
262,1979-03-09,4013,F
263,1955-02-27,4118,F
264,1977-09-02,4558,F
265,1958-10-15,4566,F
266,1980-08-13,4125,F
267,1968-10-23,4555,F
268,1969-11-06,4551,F
269,1977-06-07,4132,F
270,1974-09-26,4556,F
271,1979-06-23,4556,F
272,1974-02-26,4556,F
273,1968-04-07,4567,F
274,1971-06-11,4626,F
275,1966-09-17,4518,F
276,1993-01-22,4553,F
277,1968-08-17,4301,F
278,1971-12-20,2478,F
279,1963-12-04,4165,M
280,1976-12-29,4573,F
281,1957-09-28,4575,F
282,1961-09-02,4559,F
283,1966-07-29,4564,F
284,1973-04-22,4573,F
285,1966-12-21,4564,F
286,1963-12-04,4551,F
287,1969-01-29,4564,F
288,1980-04-15,4559,F
289,1981-01-28,4012,F
290,0000-00-00,,
291,1971-10-26,4556,M
292,1972-12-16,4573,M
294,1971-01-06,4037,F
295,1983-11-06,4561,F
296,2009-03-12,4179,M
297,1970-01-16,4575,M
298,1971-11-17,4031,F
299,1955-05-25,3644,F
300,1962-02-03,4556,M
301,0000-00-00,,
302,1976-03-03,4556,F
303,1973-09-21,4572,F
304,1983-07-15,4017,F
305,1969-05-07,4556,F
306,1969-02-12,4554,F
307,1961-03-17,4558,F
308,1968-02-23,4075,F
309,1962-09-02,,F
310,0000-00-00,,
311,1959-07-06,4565,F
312,1982-06-17,4017,F
313,1974-05-03,4573,F
314,1960-11-01,4053,F
315,1976-01-23,4519,F
316,1969-05-20,4558,F
